pos,label,n,AUPRC,F1,G-Mean,Recall,Presicion,infer_ms_per_tx
1,2025-W18,17279,0.8448936519155833,0.7372307692307692,0.8349590017093153,0.7047058823529412,0.7729032258064517,0.5184000001463573
2,2025-W19,20038,0.8492359445773195,0.7302516091281451,0.7996369194179318,0.643298969072165,0.8443843031123139,0.3880000003846362
3,2025-W20,20160,0.8337430921750274,0.6929133858267716,0.7653547709534065,0.5890834191555098,0.8411764705882353,0.4116000018257182
4,2025-W21,20197,0.8423832556153632,0.6752577319587629,0.7345973271352807,0.5413223140495868,0.8972602739726028,0.5291999987093732
5,2025-W22,20225,0.8649031393032729,0.6750788643533123,0.7280743774245515,0.5312810327706058,0.9256055363321799,0.3949999991164077
6,2025-W23,20123,0.857896363158627,0.6509433962264151,0.7050760305372098,0.4979381443298969,0.9396887159533074,0.3820000019914005
7,2025-W24,19898,0.8596030219723498,0.632088520055325,0.6914843431298555,0.4790356394129979,0.9288617886178862,0.4029000010632444
8,2025-W25,20132,0.8842281567719175,0.6555786555786556,0.7052486156027782,0.4978947368421053,0.9594320486815415,0.49030000081984326
9,2025-W26,19947,0.8083956542308399,0.618208516886931,0.6913137469986406,0.479498861047836,0.8698347107438017,0.5331000029400457
10,2025-W27,20063,0.7020800258710532,0.3945267958950969,0.8513834307245715,0.7424892703862661,0.2686335403726708,0.39059999835444614
11,2025-W28,20002,0.8062565836863586,0.5953038674033149,0.8855705825781284,0.8041044776119403,0.4725877192982456,0.4278999986127019
12,2025-W29,20267,0.800927092541579,0.6802585778219791,0.8566906582946378,0.75,0.6223839854413102,0.39309999920078553
13,2025-W30,19810,0.8494740585198427,0.7666417352281226,0.8745576451423747,0.7788753799392097,0.7547864506627393,0.42829999802052043
14,2025-W31,20260,0.8415814916327501,0.7800495662949195,0.860321738405259,0.7520908004778972,0.8101673101673101,0.38729999869246967
15,2025-W32,20079,0.8523295439270862,0.7845828933474129,0.8595434208322398,0.7524050632911392,0.8196359624931053,0.398000000132015
16,2025-W33,19787,0.8640329914520951,0.7901072444736266,0.8686639480777255,0.7736819545649378,0.8072450805008945,0.39680000190855935
17,2025-W34,20194,0.8747620192434896,0.7862352721152048,0.8724634078763979,0.7869711718457506,0.7855007473841554,0.40580000131740235
18,2025-W35,20014,0.842205425819489,0.7363945578231292,0.8835609042712275,0.8200757575757576,0.6682098765432098,0.4482000003918074
19,2025-W36,20052,0.48362125465387584,0.41764929631038417,0.8918413836791403,0.8591549295774648,0.27587939698492464,0.39760000072419643
20,2025-W37,20062,0.5441523973341457,0.5560655737704918,0.8896144331290524,0.8790601243953006,0.40664961636828645,0.39789999937056564
