iter	Passed	Remaining
207	1936	2718
208	1945	2708
209	1954	2698
210	1962	2688
211	1973	2680
212	1981	2669
213	1989	2659
214	1997	2648
215	2007	2639
216	2015	2628
217	2024	2619
218	2033	2609
219	2042	2599
220	2051	2589
221	2059	2579
222	2071	2573
223	2080	2563
224	2090	2554
225	2098	2544
226	2106	2533
227	2115	2524
228	2124	2514
229	2140	2512
230	2152	2506
231	2162	2498
232	2182	2501
233	2199	2500
234	2214	2497
235	2226	2490
236	2239	2484
237	2251	2478
238	2261	2469
239	2273	2462
240	2283	2453
241	2292	2444
242	2301	2434
243	2309	2423
244	2319	2413
245	2326	2402
246	2335	2392
247	2344	2382
248	2354	2373
249	2362	2362
250	2372	2353
251	2382	2344
252	2390	2334
253	2400	2325
254	2409	2315
255	2418	2305
256	2427	2295
257	2437	2286
258	2448	2278
259	2456	2267
260	2466	2258
261	2474	2248
262	2484	2238
263	2492	2228
264	2501	2218
265	2510	2208
266	2520	2199
267	2529	2189
268	2538	2179
269	2547	2170
270	2556	2160
271	2566	2151
272	2576	2142
273	2585	2132
274	2595	2123
275	2604	2113
276	2613	2103
277	2621	2093
278	2630	2083
279	2638	2072
280	2647	2063
281	2655	2052
282	2663	2042
283	2671	2031
284	2680	2022
285	2688	2011
286	2697	2002
287	2706	1991
288	2715	1982
289	2724	1972
290	2733	1963
291	2741	1953
292	2750	1943
293	2759	1933
294	2767	1923
295	2776	1913
296	2785	1903
297	2793	1893
298	2802	1883
299	2812	1874
300	2820	1864
301	2829	1855
302	2838	1845
303	2848	1836
304	2856	1826
305	2865	1816
306	2874	1806
307	2882	1796
308	2892	1787
309	2901	1778
310	2911	1769
311	2922	1760
312	2930	1751
313	2939	1741
314	2947	1731
315	2957	1721
316	2965	1711
317	2973	1702
318	2982	1692
319	2991	1682
320	3000	1672
321	3008	1663
322	3017	1653
323	3026	1643
324	3034	1634
325	3044	1624
326	3053	1615
327	3063	1606
328	3073	1597
329	3082	1587
330	3092	1578
331	3104	1571
332	3115	1562
333	3125	1553
334	3135	1544
335	3145	1535
336	3154	1525
337	3164	1516
338	3174	1507
339	3185	1499
340	3194	1489
341	3204	1480
342	3212	1470
343	3223	1461
344	3232	1452
345	3242	1443
346	3251	1433
347	3259	1423
348	3266	1413
349	3276	1404
350	3284	1394
351	3292	1384
352	3301	1374
353	3310	1365
354	3318	1355
355	3327	1345
356	3335	1336
357	3344	1326
358	3352	1316
359	3361	1307
360	3370	1297
361	3379	1288
362	3388	1278
363	3397	1269
364	3406	1259
365	3414	1250
366	3423	1240
367	3431	1230
368	3440	1221
369	3447	1211
370	3455	1201
371	3463	1191
372	3471	1181
373	3478	1172
374	3486	1162
375	3494	1152
376	3504	1143
377	3512	1133
378	3521	1124
379	3530	1114
380	3538	1105
381	3547	1095
382	3558	1086
383	3568	1077
384	3576	1068
385	3585	1058
386	3593	1049
387	3602	1039
388	3610	1030
389	3619	1020
390	3626	1010
391	3634	1001
392	3643	991
393	3652	982
394	3660	972
395	3668	963
396	3676	953
397	3684	944
398	3692	934
399	3700	925
400	3708	915
401	3717	906
402	3725	896
403	3734	887
404	3742	877
405	3751	868
406	3759	858
407	3768	849
408	3777	840
409	3786	831
410	3794	821
411	3803	812
412	3812	803
413	3820	793
414	3829	784
415	3838	775
416	3847	765
417	3855	756
418	3864	747
419	3872	737
420	3881	728
421	3889	718
422	3897	709
423	3905	700
424	3914	690
425	3922	681
426	3930	671
427	3938	662
428	3946	653
429	3953	643
430	3961	634
431	3969	624
432	3977	615
433	3985	606
434	3994	596
435	4002	587
436	4011	578
437	4020	569
438	4029	559
439	4037	550
440	4046	541
441	4055	532
442	4067	523
443	4077	514
444	4087	505
445	4096	496
446	4105	486
447	4116	477
448	4124	468
449	4133	459
450	4142	450
451	4151	440
452	4160	431
453	4169	422
454	4178	413
455	4186	403
456	4195	394
457	4204	385
458	4214	376
459	4222	367
460	4231	358
461	4240	348
462	4248	339
463	4257	330
464	4265	321
465	4274	311
466	4282	302
467	4290	293
468	4298	284
469	4306	274
470	4314	265
471	4322	256
472	4330	247
473	4338	237
474	4347	228
475	4355	219
476	4363	210
477	4371	201
478	4379	192
479	4387	182
480	4398	173
481	4406	164
482	4414	155
483	4423	146
484	4431	137
485	4440	127
486	4448	118
487	4456	109
488	4465	100
489	4473	91
490	4480	82
491	4489	72
492	4497	63
493	4505	54
494	4514	45
495	4522	36
496	4530	27
497	4539	18
498	4548	9
499	4557	0
