iter	Logloss
0	0.6861820038
1	0.6795274272
2	0.6737001279
3	0.6677025954
4	0.6625181743
5	0.6575388331
6	0.6530024761
7	0.6494688106
8	0.6449207887
9	0.6418915873
10	0.6390449411
11	0.6361887323
12	0.6336122378
13	0.6313860881
14	0.628791633
15	0.6264479639
16	0.6242537276
17	0.6218361382
18	0.6199653633
19	0.6179455486
20	0.616199268
21	0.6145003734
22	0.6129401551
23	0.6116028118
24	0.6102321764
25	0.6089273473
26	0.6074850651
27	0.6062024402
28	0.6047895088
29	0.6036580824
30	0.6026850005
31	0.6014961803
32	0.6003458189
33	0.5987900383
34	0.5976931603
35	0.5967149961
36	0.5958696941
37	0.5950308848
38	0.5941934999
39	0.593297576
40	0.592454308
41	0.5915880748
42	0.5908075821
43	0.5899204687
44	0.5891397147
45	0.5886352707
46	0.5879133133
47	0.587154671
48	0.5863188267
49	0.5855099892
50	0.5850645323
51	0.5843569513
52	0.5838602967
53	0.5832610366
54	0.5823419008
55	0.5817169481
56	0.5812152285
57	0.5803723714
58	0.57979379
59	0.5789910325
60	0.5782107106
61	0.5775821612
62	0.5771456356
63	0.5766473317
64	0.5763239401
65	0.5754292799
66	0.5749720211
67	0.5744002852
68	0.5738556943
69	0.5733671294
70	0.5728455127
71	0.5722037254
72	0.5715304174
73	0.5709496433
74	0.570433448
75	0.5697785801
76	0.5691912316
77	0.5686238388
78	0.568100075
79	0.5673443072
80	0.5665813194
81	0.5660231459
82	0.5655996765
83	0.5650859237
84	0.5645546538
85	0.5639221263
86	0.5634709428
87	0.5630759163
88	0.5626110307
89	0.5620722137
90	0.5614906283
91	0.5608566694
92	0.5603898456
93	0.5594723214
94	0.5592074069
95	0.5587357308
96	0.5584467271
97	0.557775993
98	0.5571601036
99	0.5564073205
100	0.5560053594
101	0.5554154518
102	0.5549143715
103	0.5545675105
104	0.5539641945
105	0.5535204411
106	0.5529982724
107	0.5524316023
108	0.5517700785
109	0.5513751424
110	0.5509106049
111	0.5506227045
112	0.550159695
113	0.5496942166
114	0.5492370534
115	0.5489477033
116	0.5486126827
117	0.5479828241
118	0.5476064069
119	0.5472095376
120	0.5468060375
121	0.5464204547
122	0.5459265292
123	0.5454245582
124	0.5449087738
125	0.5447602729
126	0.5442404132
127	0.5439344246
128	0.5435319225
129	0.5430890488
130	0.5425734989
131	0.5423029851
132	0.5418746945
133	0.5412794511
134	0.5409610849
135	0.540437662
136	0.5400455862
137	0.5397578079
138	0.5393330943
139	0.5390715988
140	0.538645278
141	0.5382527735
142	0.5373957993
143	0.5369390638
144	0.5364326592
145	0.5360444066
146	0.5357055062
147	0.5352126203
148	0.5349284496
149	0.5346905388
150	0.5344205725
151	0.5341119108
152	0.5336104571
153	0.5331837823
154	0.5326418646
155	0.5323357603
156	0.5317880173
157	0.5314961732
158	0.531129824
159	0.5307514175
160	0.530335366
161	0.5298878166
162	0.5295458095
163	0.5291050234
164	0.5287880252
165	0.5284572624
166	0.52806165
167	0.527629055
168	0.527404914
169	0.5270613088
170	0.5265690413
171	0.5263146566
172	0.5259833529
173	0.5256896886
174	0.5253687167
175	0.5251386084
176	0.5247852203
177	0.5243266281
178	0.5240238482
179	0.5236564885
180	0.5232508857
181	0.5228914818
182	0.5224258026
183	0.522258424
184	0.5217618194
185	0.5215202631
186	0.5212601184
187	0.5207985168
188	0.520525682
189	0.5201337777
190	0.5198637779
191	0.5191971557
192	0.5187130769
193	0.5184866634
194	0.5181966126
195	0.5177585596
196	0.5174450845
197	0.517160005
198	0.5169259272
199	0.5165361423
200	0.5160050452
201	0.5154487324
202	0.5149444951
203	0.5143656068
204	0.5140245504
205	0.5136581732
206	0.5132040611
207	0.5129511981
208	0.5124855492
209	0.5122351532
210	0.5118186969
211	0.511377668
212	0.5109994798
213	0.5106777718
214	0.5104381847
215	0.5099099649
216	0.5095186276
217	0.5092274961
218	0.5088772548
219	0.5085782179
220	0.5083510497
221	0.5076731482
222	0.5072130731
223	0.5069257787
224	0.5065926319
225	0.506122574
226	0.5056871694
227	0.5053519186
228	0.5051356143
229	0.5048199595
230	0.5044526374
231	0.5040342644
232	0.5036277141
233	0.5032308679
234	0.5028582544
235	0.5025700463
236	0.5021166662
237	0.5016812794
238	0.5014021322
239	0.5009772138
240	0.5006383485
241	0.5004079414
242	0.5000723759
243	0.4997155663
244	0.4994132935
245	0.4990986787
246	0.4988984386
247	0.4982514152
248	0.4979612184
249	0.4977042716
250	0.497446816
251	0.4969614295
252	0.4966932723
253	0.4962971252
254	0.4958599932
255	0.4955049321
256	0.4951723072
257	0.4947640232
258	0.4943689719
259	0.494084258
260	0.4936844549
261	0.4931503182
262	0.4928661835
263	0.4925133303
264	0.4922054916
265	0.4918786978
266	0.4914022004
267	0.4910723023
268	0.4905731399
269	0.4902024325
270	0.489731997
271	0.4893139815
272	0.4889180283
273	0.4886753078
274	0.4881816836
275	0.4879570985
276	0.4877215526
277	0.4873618242
