iter	Logloss
278	0.486754536
279	0.4864741635
280	0.4859544665
281	0.485532258
282	0.4852689184
283	0.4849668224
284	0.4844456938
285	0.4839437083
286	0.4836096415
287	0.4833834656
288	0.4831715624
289	0.4826802186
290	0.4822819348
291	0.4818632755
292	0.4815752527
293	0.4811856902
294	0.4808563487
295	0.4803382829
296	0.4799243054
297	0.4796560649
298	0.4791648387
299	0.4786714921
300	0.4784224606
301	0.4780623938
302	0.4775912987
303	0.4773556147
304	0.4770149242
305	0.4765288365
306	0.4762476163
307	0.4760106305
308	0.4756377883
309	0.4752585024
310	0.4750213357
311	0.4747025197
312	0.4741221196
313	0.4738241186
314	0.4735453854
315	0.4731756092
316	0.4728293506
317	0.4724767495
318	0.4721400213
319	0.4716635982
320	0.4712913035
321	0.4710188752
322	0.4706517323
323	0.470387279
324	0.4700929726
325	0.4697102694
326	0.469394744
327	0.4692030319
328	0.4688671311
329	0.4685962509
330	0.4683304219
331	0.4680162896
332	0.4677107914
333	0.4674175864
334	0.4671894817
335	0.4669676153
336	0.4666687308
337	0.4662737933
338	0.4660720396
339	0.465704765
340	0.465379757
341	0.4651390888
342	0.4648647898
343	0.4645838793
344	0.464187314
345	0.4637241507
346	0.4634043978
347	0.4630931701
348	0.4627269509
349	0.4623024524
350	0.4620390764
351	0.4616987866
352	0.4613215453
353	0.4609815019
354	0.4606492605
355	0.4602970511
356	0.4600366665
357	0.4596718215
358	0.4594301469
359	0.4590983114
360	0.4588106408
361	0.458471378
362	0.4582503558
363	0.458002676
364	0.4576746222
365	0.4574943604
366	0.4570662907
367	0.4567224126
368	0.4564869434
369	0.4562417549
370	0.4560324106
371	0.4556980608
372	0.4553833169
373	0.4550770216
374	0.4549005526
375	0.4546474254
376	0.4543018663
377	0.4540616428
378	0.4537771992
379	0.4533304208
380	0.4529468707
381	0.4526883055
382	0.4523737689
383	0.4520536234
384	0.4517542307
385	0.451440693
386	0.4510129497
387	0.4507140557
388	0.4502857376
389	0.4500292791
390	0.4498182114
391	0.4495689225
392	0.4491873703
393	0.4486711418
394	0.4484159914
395	0.4482109619
396	0.4478838229
397	0.4475005996
398	0.4472905916
399	0.447120582
400	0.4468665365
401	0.4466238853
402	0.4463435653
403	0.446132976
404	0.4459688622
405	0.4457448653
406	0.4455372318
407	0.4452191332
408	0.4448969472
409	0.4446687471
410	0.4443816942
411	0.4442546096
412	0.4440234304
413	0.4437304641
414	0.4432663906
415	0.442923453
416	0.4425400243
417	0.4422064121
418	0.4419624741
419	0.4416617627
420	0.4412902877
421	0.4410316024
422	0.4408354154
423	0.4404720813
424	0.4401159529
425	0.4398473957
426	0.4396044629
427	0.439318336
428	0.4390449805
429	0.4388303485
430	0.4384462821
431	0.4381149963
432	0.4378426314
433	0.4376112483
434	0.437339221
435	0.4369735903
436	0.4366273555
437	0.4362439369
438	0.4359389664
439	0.4357169649
440	0.4353967821
441	0.4351500341
442	0.4347596217
443	0.4343770768
444	0.4339345485
445	0.4336427639
446	0.4334938243
447	0.4331131512
448	0.4328601692
449	0.4326842163
450	0.4324487489
451	0.4320591568
452	0.4317883493
453	0.4315239627
454	0.4312634695
455	0.4309599268
456	0.4306653026
457	0.4303528958
458	0.4300576865
459	0.4297822398
460	0.429468596
461	0.4291966514
462	0.4288523268
463	0.4286042054
464	0.4283947474
465	0.4280209886
466	0.4277053528
467	0.4274054386
468	0.4271896636
469	0.426859468
470	0.4266844131
471	0.4263664336
472	0.4260935395
473	0.4257105078
474	0.4254573895
475	0.4252692266
476	0.4249916121
477	0.4247841694
478	0.4244161479
479	0.4241800039
480	0.4238817281
481	0.4235267639
482	0.4232437392
483	0.4230224352
484	0.422777228
485	0.4224759412
486	0.4221948102
487	0.4219715034
488	0.4216798165
489	0.4214902236
490	0.4212891587
491	0.4210885302
492	0.420895597
493	0.4206984358
494	0.4204037397
495	0.4201789509
496	0.4198738028
497	0.4196854162
498	0.4194835568
499	0.4191199805
