pos,label,n,AUPRC,F1,G-Mean,Recall,Presicion,infer_ms_per_tx
38,2026-W03,19986,0.7840821845071871,0.7272727272727273,0.7567213412274508,0.5726872246696035,0.9961685823754789,1.6172000032383949
39,2026-W04,20326,0.8025458024005299,0.6924643584521385,0.7290581573999648,0.5316653635652854,0.9927007299270073,1.4764000006834976
40,2026-W05,19823,0.825795779878223,0.7122969837587007,0.7447593864653069,0.5548192771084337,0.9946004319654428,1.4007999998284504
41,2026-W06,19887,0.833440698203865,0.69884771099346,0.7341128144524298,0.5391638635271504,0.9929203539823008,1.2102000036975369
42,2026-W07,20162,0.8448337834992573,0.7159404302261445,0.7473978939413879,0.5587602238484718,0.9961627014581734,1.3070999993942678
43,2026-W08,19871,0.865433869789805,0.7189967487227125,0.7495258452601238,0.5618874773139746,0.9980657640232108,1.1966000020038337
44,2026-W09,20377,0.809205660210582,0.7187839305103149,0.7566088714012721,0.5736568457538995,0.9622093023255814,1.498800003901124
45,2026-W10,20225,0.41425841494070387,0.5648148148148148,0.7985185357405081,0.6455026455026455,0.5020576131687243,1.3593999974546023
46,2026-W11,19956,0.49464310484050655,0.5959226346053319,0.8189299003711161,0.6892382103990327,0.5248618784530387,1.6087999974843115
47,2026-W12,19948,0.49330041978180234,0.5856432125088842,0.802612254659751,0.6715566422167889,0.5192186515437933,1.3048999971942976
48,2026-W13,19976,0.5379661879362775,0.6000532907007727,0.8039895445524249,0.6828380836870831,0.535171102661597,1.3156999993952923
49,2026-W14,20422,0.5298136934401475,0.5913415794481446,0.7934447517484909,0.6693591814754981,0.5296122709842352,1.1797999977716245
50,2026-W15,20119,0.5155090829520843,0.5817508105604446,0.788184666220525,0.6638477801268499,0.517724649629019,1.1863999970955774
51,2026-W16,20109,0.5579754167328991,0.6056368800524361,0.7965414307198317,0.6774193548387096,0.5476096404583168,1.6160999948624521
52,2026-W17,19878,0.5545668822380649,0.5989940557841792,0.7957619146902488,0.6756059824651882,0.5379876796714579,1.8359000023338012
53,2026-W18,19974,0.5792291821520962,0.410484668644906,0.5664662685416724,0.32677165354330706,0.5518617021276596,1.2563000054797158
54,2026-W19,19870,0.9113751796072678,0.004016064257028112,0.044856130401625664,0.002012072434607646,1.0,1.3001999977859668
55,2026-W20,20229,0.8960761558985326,0.002081165452653486,0.03227486121839514,0.0010416666666666667,1.0,1.4246999999159016
56,2026-W21,20082,0.9082174769373554,0.003992015968063872,0.044721359549995794,0.002,1.0,1.1802000008174218
57,2026-W22,20105,0.9169356713534605,0.002072538860103627,0.03220783132004154,0.001037344398340249,1.0,1.324700002442114
58,2026-W23,20103,0.9172884745526323,0.003992015968063872,0.044721359549995794,0.002,1.0,1.1681999967549928
59,2026-W24,19956,0.9224926800186336,0.00408997955010225,0.045267873021259265,0.0020491803278688526,1.0,1.424800000677351
60,2026-W25,20171,0.9162261293663584,0.010395010395010396,0.07228181235327591,0.00522466039707419,1.0,1.3648000021930784
61,2026-W26,20063,0.9336678304504116,0.012024048096192385,0.0777713771047819,0.006048387096774193,1.0,1.409000004059635
62,2026-W27,20173,0.7289003247803839,0.7146814404432132,0.753750279079619,0.5682819383259912,0.9626865671641791,1.2013000014121644
63,2026-W28,19923,0.7782308185550096,0.7449306296691569,0.772967744481708,0.5976027397260274,0.9886685552407932,1.4353999940794893
64,2026-W29,20103,0.8009688721585748,0.7315123251165889,0.7612976631047174,0.5797254487856388,0.9909747292418772,1.3588000001618639
65,2026-W30,20113,0.8283837337855128,0.7533392698130009,0.7802009076574596,0.6090712742980562,0.9871645274212368,1.253900001756847
66,2026-W31,20005,0.832801875491871,0.7462577583059511,0.7721193221984293,0.5962660443407235,0.9970731707317073,1.2007999976049177
67,2026-W32,20308,0.8551322725454487,0.7532170431798685,0.7783576364441747,0.6060745513115509,0.9947129909365559,1.5860999992582947
68,2026-W33,20235,0.862365727573094,0.751131221719457,0.7766836563486843,0.6035072711719418,0.9943622269203665,1.4007999998284504
69,2026-W34,20001,0.8709956827430896,0.7640036730945822,0.7876962394023914,0.6208955223880597,0.9928400954653938,1.2126000001444481
70,2026-W35,20057,0.8854564777840631,0.778675282714055,0.8001474735398819,0.6407140144322067,0.9923529411764705,1.353799998469185
71,2026-W36,20299,0.4956099319838087,0.5887640449438202,0.8245902917742203,0.6931216931216931,0.51171875,1.822900005208794
72,2026-W37,19884,0.5476524793326514,0.6220665499124344,0.8359048624099835,0.7278688524590164,0.5431192660550459,1.2754999988828786
73,2026-W38,19995,0.5662370050838033,0.6265880217785844,0.8265483675032049,0.7287598944591029,0.5495423796259451,1.3806999995722435
74,2026-W39,20128,0.5773458017314931,0.6171468240194377,0.8146621392392653,0.7269010629599346,0.5361881785283474,1.4644000038970262
75,2026-W40,20318,0.5839998285137271,0.6308724832214765,0.8035347435601287,0.7244143033292232,0.5587256300523062,1.4512000052491203
76,2026-W41,20118,0.6044686826186939,0.6384051329055912,0.8015708006208276,0.7415491083311152,0.5604506135586401,1.3424999997369014
77,2026-W42,20055,0.6172556809027497,0.6398694144052234,0.7919220728241255,0.7411959347671945,0.5629150960330281,1.33790000109002
78,2026-W43,20101,0.6494306070605326,0.6537335285505125,0.7852972825155,0.738626964433416,0.5863427445830598,1.3899999976274557
79,2026-W44,21909,0.6686550107958233,0.6390714585372675,0.7817160777103854,0.6617434115262091,0.6179015684153597,1.8045999968308024
80,2026-W45,24040,0.9247631678327306,0.010787486515641856,0.0736409769924857,0.005422993492407809,1.0,1.6557999988435768
81,2026-W46,23963,0.9367180895105047,0.008762322015334063,0.06633581268066593,0.0044004400440044,1.0,2.161300006264355
82,2026-W47,23965,0.9366377970381355,0.010822510822510822,0.07376107651831262,0.00544069640914037,1.0,1.4847999991616234
83,2026-W48,24565,0.9448684018387015,0.011267605633802818,0.07527099294949814,0.0056657223796034,1.0,1.4644000038970262
84,2026-W49,26893,0.9570236740479476,0.048707753479125246,0.1579930162181661,0.024961793173713703,1.0,2.2239000027184375
85,2026-W50,26870,0.9573671755396725,0.04885343968095713,0.15823502761794855,0.025038323965252938,1.0,1.5893000017968006
86,2026-W51,27288,0.9650543351490682,0.06206896551724138,0.17896499588156808,0.03202846975088968,1.0,1.7902999970829114
87,2026-W52,27212,0.9613900264201483,0.06116504854368932,0.1776156552263122,0.031547320981472206,1.0,1.6688999967300333
88,2026-W53,7611,0.9663971075852246,0.05545286506469501,0.1688700987924141,0.028517110266159697,1.0,0.5631000021821819
