pos,label,n,AUPRC,F1,G-Mean,Recall,Presicion,infer_ms_per_tx
1,2025-W18,17279,0.8448936519155833,0.7372307692307692,0.8349590017093153,0.7047058823529412,0.7729032258064517,0.5383000025176443
2,2025-W19,20038,0.8526802542911843,0.7397414277684092,0.8203527531859011,0.6783505154639176,0.8133498145859085,0.5378000059863552
3,2025-W20,20160,0.8391869683595782,0.7161473087818697,0.8033557599243768,0.650875386199794,0.7959697732997482,0.48160000005736947
4,2025-W21,20197,0.8467407726024655,0.7209847596717468,0.794522894729278,0.6353305785123967,0.8333333333333334,0.47820000327192247
5,2025-W22,20225,0.8668992573237213,0.75,0.811064580412249,0.6613704071499503,0.8660598179453837,0.48489999608136714
6,2025-W23,20123,0.8586239027303518,0.7256317689530686,0.7866135066965527,0.6216494845360825,0.8713872832369942,0.5105000018374994
7,2025-W24,19898,0.8569868255491973,0.7139364303178484,0.7803797422219341,0.6121593291404612,0.8563049853372434,0.4760000010719523
8,2025-W25,20132,0.8773553864603836,0.7484586929716399,0.7979863630030278,0.6389473684210526,0.9032738095238095,0.4996999996365048
9,2025-W26,19947,0.796037797949782,0.71,0.8010619866403532,0.6469248291571754,0.7867036011080333,0.4914999954053201
10,2025-W27,20063,0.710450030116531,0.33490122295390407,0.8595523671676171,0.7639484978540773,0.21445783132530122,0.4847000018344261
11,2025-W28,20002,0.8156245068293144,0.5447941888619855,0.9004600034956687,0.8395522388059702,0.4032258064516129,0.4793999978573993
12,2025-W29,20267,0.813575767783647,0.6418769366976538,0.8771596848611419,0.7949561403508771,0.5382331106161841,0.4980000012437813
13,2025-W30,19810,0.8625286524923192,0.7491289198606271,0.8920269881025771,0.8168693009118541,0.6917631917631918,0.46880000445526093
14,2025-W31,20260,0.8536482161244998,0.7668693889371561,0.8783835183883696,0.7909199522102748,0.7442383361439011,0.5063999997219071
15,2025-W32,20079,0.8646107595109191,0.7832699619771863,0.8740218086882509,0.7822784810126582,0.7842639593908629,0.7803000044077635
16,2025-W33,19787,0.8745179260269618,0.8015665796344648,0.8777796960129446,0.7895413630518645,0.8139637649138312,0.6413000010070391
17,2025-W34,20194,0.8854874073932057,0.8119426134160528,0.8754389103729744,0.7839760389367278,0.841978287092883,0.622800005658064
18,2025-W35,20014,0.8577636491142583,0.7964015151515151,0.8816304324701196,0.7964015151515151,0.7964015151515151,0.5502999993041158
19,2025-W36,20052,0.4892675360299035,0.5002320185614849,0.8950163643569221,0.8435054773082942,0.3555408970976253,0.5514000004041009
20,2025-W37,20062,0.5475164106353967,0.5938760977925469,0.8911707511344921,0.8645473393227368,0.4522776572668113,0.5193999968469143
21,2025-W38,20001,0.5866530002387724,0.6281864530225783,0.8656488615848288,0.826941514860978,0.5064591896652966,0.5001999961677939
22,2025-W39,20098,0.6099823538640137,0.6401597072034603,0.8166286883213469,0.7268605969021534,0.5719381688466112,0.516200001584366
23,2025-W40,20035,0.6342135979176364,0.6412254770223058,0.7989672443206618,0.7107536490914507,0.5840881272949816,0.4889000047114678
24,2025-W41,20098,0.646041564581891,0.616950878086027,0.7540348098087142,0.6301013776969067,0.6043380703066566,0.5138999986229464
25,2025-W42,19932,0.6657370164214275,0.6138888888888889,0.7335163831888849,0.5979706877113867,0.6306777645659929,0.4702000005636364
26,2025-W43,19948,0.6747090430263265,0.6036652682711415,0.7130662283751692,0.5633628683288687,0.6501783590963139,0.4695000025094487
27,2025-W44,22522,0.6342848927622335,0.47824074074074074,0.5958555404916503,0.36322081575246135,0.6998644986449865,0.534800004970748
28,2025-W45,23973,0.893477161082351,0.0,0.0,0.0,0.0,0.5713999998988584
29,2025-W46,23876,0.8530534873485534,0.0,0.0,0.0,0.0,0.5504000000655651
30,2025-W47,23912,0.8182317448548043,0.0,0.0,0.0,0.0,0.5223999978625216
31,2025-W48,24987,0.8489782986579307,0.0,0.0,0.0,0.0,0.5548999979509972
32,2025-W49,27219,0.8545579276717284,0.0,0.0,0.0,0.0,1.033699998515658
33,2025-W50,27289,0.8520078219519407,0.0,0.0,0.0,0.0,0.6619000050704926
34,2025-W51,27168,0.8322624042937289,0.0,0.0,0.0,0.0,0.6313999983831309
35,2025-W52,27100,0.8192390464462703,0.0,0.0,0.0,0.0,0.6664000029559247
36,2026-W01,21106,0.4883207689349914,0.05668016194331984,0.1707825127659933,0.029166666666666667,1.0,0.5321999997249804
