pos,label,AUPRC,run_max,drawdown_pct
1,2025-W18,0.9951487487725202,0.9951487487725202,0.0
2,2025-W19,0.9964743680613224,0.9964743680613224,0.0
3,2025-W20,0.997000793752832,0.997000793752832,0.0
4,2025-W21,0.9969261121055177,0.997000793752832,-0.007490630677751804
5,2025-W22,0.9976694015299811,0.9976694015299811,0.0
6,2025-W23,0.9970785066493161,0.9976694015299811,-0.059227523642483564
7,2025-W24,0.9981128923621414,0.9981128923621414,0.0
8,2025-W25,0.998160784125601,0.998160784125601,0.0
9,2025-W26,0.8970513641633503,0.998160784125601,-10.129572466706717
10,2025-W27,0.6482010907962786,0.998160784125601,-35.06045307479101
11,2025-W28,0.833359952000629,0.998160784125601,-16.510449493298747
12,2025-W29,0.8876069253523255,0.998160784125601,-11.075756584659034
13,2025-W30,0.922236066728773,0.998160784125601,-7.6064616647245735
14,2025-W31,0.8961409236305911,0.998160784125601,-10.220784278194262
15,2025-W32,0.8720575839876686,0.998160784125601,-12.63355585026315
16,2025-W33,0.9021353075912123,0.998160784125601,-9.620241354052798
17,2025-W34,0.9051370444248331,0.998160784125601,-9.319514569214185
18,2025-W35,0.8682746146001568,0.998160784125601,-13.012549840777995
19,2025-W36,0.5120632279352666,0.998160784125601,-48.699324189154645
20,2025-W37,0.5376321893432785,0.998160784125601,-46.13771669919394
21,2025-W38,0.5711074271148123,0.998160784125601,-42.784024758585545
22,2025-W39,0.6201795199772921,0.998160784125601,-37.86777342484201
23,2025-W40,0.5157702045774742,0.998160784125601,-48.327943475630114
24,2025-W41,0.5135084855591833,0.998160784125601,-48.55453212289622
25,2025-W42,0.5513141739845547,0.998160784125601,-44.766997185978255
26,2025-W43,0.5760808581347674,0.998160784125601,-42.28576524979189
27,2025-W44,0.5667826889672352,0.998160784125601,-43.21729545167991
28,2025-W45,0.9612279821489191,0.998160784125601,-3.7000854535710324
29,2025-W46,0.9891066337722949,0.998160784125601,-0.9070833574410232
