pos,segment,scenario,AdaptIdx_local,AdaptIdx_blend
1,2025-05..2025-06 (S1),1,1.0023036357060533,0.6612354108050391
2,2025-05..2025-06 (S1),1,0.9814025967090639,0.9969701113062952
3,2025-05..2025-06 (S1),1,1.0072041015037683,0.9975197773983244
4,2025-05..2025-06 (S1),1,1.0039526339821412,1.0009794776102763
5,2025-05..2025-06 (S1),1,0.9917816973449192,0.991429325297364
6,2025-05..2025-06 (S1),1,0.978553644565032,0.9743983105566965
7,2025-05..2025-06 (S1),1,0.9528595897601385,0.9751614277839862
8,2025-05..2025-06 (S1),1,0.9940710490267884,0.9584818792593666
9,2025-05..2025-06 (S1),1,0.9285149989911726,0.640862016005987
9,2025-07..2025-08 (S2),2,0.9988247188975504,0.6162749062991835
10,2025-07..2025-08 (S2),2,0.7249672375349565,0.9026624169764127
11,2025-07..2025-08 (S2),2,0.8591625320316877,0.8887064285259434
12,2025-07..2025-08 (S2),2,0.9569567535461426,0.9415800878096281
13,2025-07..2025-08 (S2),2,1.008620977851054,0.969687214158625
14,2025-07..2025-08 (S2),2,0.9434839110786788,0.9665749978254086
15,2025-07..2025-08 (S2),2,0.9476201045464933,0.9648822844522296
16,2025-07..2025-08 (S2),2,1.0035428377315168,0.9819495618935783
17,2025-07..2025-08 (S2),2,0.9946857434027249,0.9952842132217625
18,2025-07..2025-08 (S2),2,0.987624058531046,0.6607699339779236
18,2025-09..2025-10 (S3),3,1.2,0.7151120483098818
19,2025-09..2025-10 (S3),3,0.9453361449296459,0.9984453816432152
20,2025-09..2025-10 (S3),3,0.8003760551158585,0.9082598514400502
21,2025-09..2025-10 (S3),3,0.9294434093905047,0.9272551067270285
22,2025-09..2025-10 (S3),3,1.002321910790581,0.9319265096353969
23,2025-09..2025-10 (S3),3,0.8640142087251049,0.9387563089852075
24,2025-09..2025-10 (S3),3,0.9499328074399365,0.93682138332639
25,2025-09..2025-10 (S3),3,0.9965171338141287,0.9952247623128874
26,2025-09..2025-10 (S3),3,1.039224345684597,0.99231693569229
27,2025-09..2025-10 (S3),3,0.9412093275781442,0.6601445577542471
27,2025-11..2025-12 (S1),1,0.6251981041660535,0.5741281312907134
28,2025-11..2025-12 (S1),1,0.8790890373973365,0.8916739878793396
29,2025-11..2025-12 (S1),1,0.9599589929353601,0.9386341409462008
30,2025-11..2025-12 (S1),1,0.9965919611786865,0.9327617240605689
31,2025-11..2025-12 (S1),1,0.8580517669617055,0.898549200805276
32,2025-11..2025-12 (S1),1,0.8379682308504146,0.8852376083022486
33,2025-11..2025-12 (S1),1,0.9509456816915016,0.9344059025241257
34,2025-11..2025-12 (S1),1,1.0022720258808755,0.991078263180377
35,2025-11..2025-12 (S1),1,1.0200170819687537,0.957429702616543
36,2025-11..2025-12 (S1),1,0.7983452128822162,0.6233390273229179
36,2026-01..2026-02 (S2),2,0.8838256723620078,0.5674160761804191
37,2026-01..2026-02 (S2),2,0.726230411955665,0.8507494095137524
38,2026-01..2026-02 (S2),2,0.8671680384085995,0.8881668830036227
39,2026-01..2026-02 (S2),2,0.9913031087044615,0.9340013735216539
40,2026-01..2026-02 (S2),2,1.005797927530359,0.9609156334322664
41,2026-01..2026-02 (S2),2,0.93936423438973,0.9648308426187052
42,2026-01..2026-02 (S2),2,0.9762462765701847,0.9723837654596417
43,2026-01..2026-02 (S2),2,1.0101622400769033,0.9826006482093663
