pos,label,n,AUPRC,F1,Recall,Specificity,Precision,G-Mean,infer_ms_per_tx,infer_ms_avg
1,2025-W18,17279,0.9951487487725202,0.9607498535442296,0.9647058823529412,0.9977478848377869,0.9568261376896149,0.9810877909790836,1.4914518687874079,8.631586716751015e-05
2,2025-W19,20038,0.9964743680613224,0.9407153356197943,0.9896907216494846,0.9941787287602265,0.896358543417367,0.991932186953965,1.0948020499199629,5.463629353827542e-05
3,2025-W20,20160,0.997000793752832,0.9654471544715447,0.9783728115345005,0.9975506800771275,0.9528585757271816,0.9879152106912882,1.6230131732299924,8.050660581497978e-05
4,2025-W21,20197,0.9969261121055177,0.9623304871923657,0.9896694214876033,0.9966196890113891,0.9364613880742912,0.9931384752727369,1.478387974202633,7.319839452406955e-05
5,2025-W22,20225,0.9976694015299811,0.9506641366223909,0.9950347567030785,0.9948485794567593,0.9100817438692098,0.9949416637251451,1.721017062664032,8.509355068796203e-05
6,2025-W23,20123,0.9970785066493161,0.937984496124031,0.9979381443298969,0.9934213961259333,0.8848263254113345,0.9956772090328919,2.000266104005277,9.940198300478443e-05
7,2025-W24,19898,0.9981128923621414,0.9133556725706079,1.0,0.9904455236486487,0.8405286343612335,0.9952112959812347,1.9499121699482203,9.799538496071063e-05
8,2025-W25,20132,0.998160784125601,0.9528585757271816,1.0,0.9950995725159003,0.9099616858237548,0.997546777106668,1.5722049865871668,7.809482349429598e-05
9,2025-W26,19947,0.8970513641633503,0.890020366598778,0.9954441913439636,0.9888824794168546,0.8047882136279927,0.9921579108475246,1.2802130077034235,6.41807293178635e-05
10,2025-W27,20063,0.6482010907962786,0.6459948320413437,0.5364806866952789,0.9985375693393848,0.8116883116883117,0.7319126456690223,1.2918440625071526,6.438937658910197e-05
11,2025-W28,20002,0.833359952000629,0.7655719139297849,0.6305970149253731,0.9995376553991575,0.9740634005763689,0.7939177928477325,1.4280310133472085,7.139441122623781e-05
12,2025-W29,20267,0.8876069253523255,0.8527131782945736,0.7839912280701754,0.9974166881942651,0.934640522875817,0.8842883773267118,1.0877879103645682,5.367286279985041e-05
13,2025-W30,19810,0.922236066728773,0.8987494957644211,0.8490853658536586,0.9971348253865283,0.9545844044558698,0.9201372658569722,1.127624069340527,5.6921962107043264e-05
14,2025-W31,20260,0.8961409236305911,0.8407079646017699,0.7350096711798839,0.9996454439548195,0.9819121447028424,0.8571750515838062,1.0834719287231565,5.347837752829005e-05
