pos,label,n,AUPRC,F1,G-Mean,Recall,Presicion,infer_ms_per_tx
40,2026-W05,19823,0.6065331085568391,0.7913553895410885,0.9293092551128693,0.8933734939759036,0.7102490421455939,99.08990000076301
41,2026-W06,19887,0.6346077969315117,0.7962272428164071,0.9163523598863798,0.8721768380586257,0.7324455205811138,101.13920000003418
42,2026-W07,20162,0.6610601320504192,0.8218196297033645,0.9256505925877676,0.8885062419285407,0.7644444444444445,100.28710000005958
43,2026-W08,19871,0.7010907917178659,0.8376656911688759,0.9225401450557064,0.8831215970961888,0.7966601178781926,99.54000000107044
44,2026-W09,20377,0.591597974758015,0.7703554323166121,0.9215254061587088,0.8827267475447718,0.6833631484794276,99.3134000000282
45,2026-W10,20225,0.19959508304721665,0.3922683342808414,0.9300839595313912,0.9126984126984127,0.2498189717595945,102.45450000002165
46,2026-W11,19956,0.339808840253746,0.521323780279768,0.9268801010220894,0.9238210399032648,0.36311787072243346,108.60020000109216
47,2026-W12,19948,0.3655963135405238,0.5507246376811594,0.9107829998929732,0.9136104319478403,0.3941631504922644,124.57569999969564
48,2026-W13,19976,0.4077501178191426,0.5944564576371142,0.9058474000083072,0.9169193450576106,0.4397905759162304,122.03719999888563
49,2026-W14,20422,0.40778992009046666,0.5913959613696225,0.895334125100292,0.9068389876144318,0.43877019280875457,152.94010000070557
50,2026-W15,20119,0.4073423719793065,0.5912099100627863,0.8981133964906437,0.9207188160676533,0.435391152211947,122.38460000116902
51,2026-W16,20109,0.44883489612947847,0.621016505965027,0.9038388262974274,0.9286412512218963,0.46648661919960716,121.505299999626
52,2026-W17,19878,0.4249508600353633,0.6064494344082391,0.9018186499635368,0.926250644662197,0.4508032128514056,123.38150000141468
53,2026-W18,19974,0.5534016767634538,0.6841032608695652,0.8744354998146232,0.7929133858267716,0.6015531660692951,191.20070000099076
54,2026-W19,19870,0.7708675659448933,0.8060394889663183,0.8348242547028177,0.6981891348088531,0.9532967032967034,113.16420000002836
55,2026-W20,20229,0.7580147500316676,0.7878419452887538,0.8207946617109142,0.675,0.945985401459854,101.96329999962472
56,2026-W21,20082,0.7517092362112939,0.7872716558632882,0.8166913752646167,0.668,0.9583931133428981,100.61169999971753
57,2026-W22,20105,0.7686752499905471,0.8007224563515954,0.8298679157716765,0.6898340248962656,0.9540889526542324,99.42270000101416
58,2026-W23,20103,0.7608898284605001,0.7951105937136205,0.8256807045524814,0.683,0.9512534818941504,101.07790000074601
59,2026-W24,19956,0.7595387276077846,0.7949336550060314,0.8212105110338219,0.6752049180327869,0.966275659824047,98.18610000002082
60,2026-W25,20171,0.7499518321261744,0.7833026396562308,0.8157738481378557,0.6666666666666666,0.9494047619047619,110.221900000397
61,2026-W26,20063,0.7687100638058595,0.7958357432041643,0.8317249673023315,0.6935483870967742,0.9335142469470827,110.16580000068643
62,2026-W27,20173,0.1875749035237388,0.37735849056603776,0.9236321300080051,0.8810572687224669,0.24009603841536614,103.18019999976968
63,2026-W28,19923,0.36199860630014674,0.5811870100783875,0.92591157899904,0.8886986301369864,0.4317803660565724,107.79920000095444
64,2026-W29,20103,0.49649881354930336,0.7061769616026711,0.9301754008926976,0.8933474128827877,0.5838509316770186,98.95229999892763
65,2026-W30,20113,0.5656886299942496,0.7579908675799086,0.9301422265812382,0.896328293736501,0.6566455696202531,109.33060000024852
66,2026-W31,20005,0.608782300458705,0.7884465261514442,0.92424362504296,0.8838973162193698,0.7116016909347112,160.28910000022734
67,2026-W32,20308,0.6718559496252803,0.8147516520997655,0.9219510912225418,0.8794293603313391,0.7589356632247816,99.51019999971322
68,2026-W33,20235,0.6992043771630378,0.8313709838355617,0.9282034095107267,0.8909324208725407,0.7792742237186682,110.70010000003094
69,2026-W34,20001,0.7136809934336937,0.835203366058906,0.9251283823770889,0.8888059701492538,0.7876984126984127,133.43499999973574
70,2026-W35,20057,0.7262985622176981,0.8470042796005706,0.9332480175724438,0.9020129130269654,0.7983193277310925,113.30830000042624
71,2026-W36,20299,0.27861954774267983,0.46439909297052157,0.9227507480878874,0.9029982363315696,0.3125763125763126,124.92569999994885
72,2026-W37,19884,0.3943441565415714,0.5747126436781609,0.9190006801470125,0.9221311475409836,0.4174397031539889,110.09279999962018
73,2026-W38,19995,0.44377178454971156,0.61198738170347,0.9034678593073208,0.9213720316622691,0.45814746785620575,99.88720000001194
74,2026-W39,20128,0.46148913192143726,0.626906692318263,0.8933402245846708,0.9325429272281276,0.47215897329745393,115.04039999999804
75,2026-W40,20318,0.4953140141708478,0.6539002488369577,0.8770059070612704,0.9315659679408138,0.503750625104184,99.55099999933736
76,2026-W41,20118,0.5189687603148073,0.6630885122410546,0.8635675332135266,0.9371839233430929,0.5130409441935014,89.03739999914251
77,2026-W42,20055,0.516806460825128,0.6674469152315666,0.848865618744894,0.943512172063342,0.5163626956409262,122.41699999867706
78,2026-W43,20101,0.543829976007924,0.6861170051530767,0.8372878800385549,0.9361042183622829,0.5415071770334928,99.22430000005988
79,2026-W44,21909,0.5850798197040541,0.7156123675297716,0.9076509766350286,0.9484506226469737,0.5745614035087719,108.339899999919
80,2026-W45,24040,0.7603359745874055,0.793801119242359,0.9895858803314808,1.0,0.6581013561741613,121.92080000022543
81,2026-W46,23963,0.729514376011414,0.7890625,0.9894033856820997,1.0,0.6516129032258065,137.26739999947313
82,2026-W47,23965,0.743429028264729,0.7963604852686309,0.9897504763224634,1.0,0.6616270698344132,122.37779999850318
83,2026-W48,24565,0.7624662856814339,0.7914798206278026,0.9880594010853663,1.0,0.6549165120593692,134.5218999995268
84,2026-W49,26893,0.7982502855543891,0.810989464986573,0.981477066594172,1.0,0.6820708825573315,144.06679999956395
85,2026-W50,26870,0.8195528045263043,0.8095139607032058,0.9813416067276727,1.0,0.6799861014593468,153.12430000085442
86,2026-W51,27288,0.8225579627480064,0.8096316114426837,0.9815645966029,1.0,0.6801521438450899,203.81580000139365
87,2026-W52,27212,0.8197657654630944,0.8106352750152223,0.9813247247206233,1.0,0.6815699658703072,144.64700000098674
88,2026-W53,7611,0.805925005099287,0.807367613200307,0.9821267950917855,1.0,0.676962676962677,77.54190000014205
