pos,label,n,AUPRC,F1,G-Mean,Recall,Presicion,infer_ms_per_tx
1,2025-W18,17279,0.7616973431171454,0.8,0.8255436222932189,0.6823529411764706,0.9666666666666667,111.26139999942097
2,2025-W19,20038,0.759679640120264,0.8030751034890597,0.8357380868308777,0.7,0.941747572815534,99.37389999868174
3,2025-W20,20160,0.9999904247303695,0.9994853319608852,0.999973943065594,1.0,0.9989711934156379,110.55140000098618
4,2025-W21,20197,1.0,1.0,1.0,1.0,1.0,89.68050000112271
5,2025-W22,20225,1.0,1.0,1.0,1.0,1.0,87.86380000128702
6,2025-W23,20123,1.0,1.0,1.0,1.0,1.0,97.59789999952773
7,2025-W24,19898,1.0,1.0,1.0,1.0,1.0,88.09010000004491
8,2025-W25,20132,1.0,1.0,1.0,1.0,1.0,88.91489999950863
9,2025-W26,19947,0.8670947971047898,0.9307774227902024,0.9944177750018552,0.9954441913439636,0.874,88.48999999827356
10,2025-W27,20063,0.09350475305418642,0.23276501111934766,0.8007703162395565,0.6738197424892703,0.14068100358422939,76.79069999903732
11,2025-W28,20002,0.846928130967761,0.6090322580645161,0.663498794962577,0.44029850746268656,0.9874476987447699,98.4028999992006
12,2025-W29,20267,0.8996170721476452,0.8705302096177558,0.8797515688935299,0.7741228070175439,0.9943661971830986,109.86969999976282
13,2025-W30,19810,0.9356663563956074,0.9057851239669421,0.9123960157648522,0.8328267477203647,0.9927536231884058,109.48929999904067
14,2025-W31,20260,0.93093495454023,0.9040469973890339,0.9094707481015959,0.8273596176821983,0.9964028776978417,98.02250000029744
15,2025-W32,20079,0.9371454194131035,0.9080396475770925,0.9135468009891194,0.8349367088607595,0.9951719975859988,88.45669999936945
16,2025-W33,19787,0.9416250847918103,0.9134659879685331,0.9194529441795816,0.8461208744106301,0.9924585218702866,97.70420000131708
17,2025-W34,20194,0.943219231373161,0.9188645057378699,0.9239475472612685,0.8543616622987645,0.9939024390243902,98.15150000031281
18,2025-W35,20014,0.9250529492641932,0.9157947184853015,0.9312110054031945,0.8702651515151515,0.9663512092534174,98.08479999992414
19,2025-W36,20052,0.4723307827667311,0.6452328159645233,0.9399178469866385,0.9107981220657277,0.4995708154506438,132.40629999927478
20,2025-W37,20062,0.4921764854003908,0.3036238981390793,0.4592998394001383,0.21423635107118175,0.5210084033613446,98.67440000016359
21,2025-W38,20001,0.5174593898001947,0.3639810426540284,0.5180480134470734,0.27612655800575264,0.5338276181649676,88.41919999940728
22,2025-W39,20098,0.5614417496884878,0.3705426356589147,0.5128533946403209,0.2708726860596902,0.5862632869991823,99.2528000006132
23,2025-W40,20035,0.6188060784699155,0.48242870285188594,0.6103829984812433,0.3905272564789991,0.6308950914340712,98.53590000057011
24,2025-W41,20098,0.6325179090153599,0.4602510460251046,0.5838321935083605,0.35742136729919416,0.6461466165413534,98.29600000011851
25,2025-W42,19932,0.6427863403633585,0.49258741258741257,0.610430256192313,0.3970687711386697,0.6486187845303868,100.12240000105521
26,2025-W43,19948,0.6624920870675716,0.5042658856487966,0.6167868310338666,0.4079950546053987,0.66,109.11820000001171
27,2025-W44,22522,0.5600903170749226,0.4680008797009017,0.6016412525859044,0.37412095639943743,0.6247798003523194,121.48750000051223
28,2025-W45,23973,0.05904961742417738,0.012903225806451613,0.08998628873045152,0.008188331627430911,0.030418250950570342,109.67999999957101
29,2025-W46,23876,1.0,0.998393144081414,0.9983944330024419,0.9967914438502674,1.0,77.44269999966491
30,2025-W47,23912,0.9999999999999999,1.0,1.0,1.0,1.0,77.62539999930596
