pos,label,n,AUPRC,F1,G-Mean,Recall,Presicion,infer_ms_per_tx
1,2025-W18,17279,0.7616973431171454,0.8,0.8255436222932189,0.6823529411764706,0.9666666666666667,121.0666000006313
2,2025-W19,20038,0.7599006683042371,0.8049792531120332,0.8358259344252582,0.7,0.9470013947001394,108.78880000018398
3,2025-W20,20160,0.9999893552951489,0.9989701338825953,0.9994588907815846,0.9989701338825953,0.9989701338825953,98.83909999916796
4,2025-W21,20197,1.0,1.0,1.0,1.0,1.0,88.88010000009672
5,2025-W22,20225,1.0,1.0,1.0,1.0,1.0,99.45489999881829
6,2025-W23,20123,1.0,1.0,1.0,1.0,1.0,98.5636000004888
7,2025-W24,19898,1.0,1.0,1.0,1.0,1.0,88.70279999973718
8,2025-W25,20132,1.0,1.0,1.0,1.0,1.0,88.41980000215699
9,2025-W26,19947,0.867877558157363,0.9307774227902024,0.9944177750018552,0.9954441913439636,0.874,88.28360000188695
10,2025-W27,20063,0.10144155042265662,0.23276501111934766,0.8007703162395565,0.6738197424892703,0.14068100358422939,98.1337999983225
11,2025-W28,20002,0.8497998010670169,0.6269035532994924,0.6787507126606851,0.4608208955223881,0.9801587301587301,97.15570000116713
12,2025-W29,20267,0.8999724454458063,0.8705302096177558,0.8797515688935299,0.7741228070175439,0.9943661971830986,88.30900000248221
13,2025-W30,19810,0.9363882136605369,0.9105892047795633,0.9161840651036027,0.8396656534954408,0.9945994599459946,87.35290000186069
14,2025-W31,20260,0.9301850848139839,0.9068403908794789,0.9117906875307586,0.8315412186379928,0.997134670487106,88.13970000119298
15,2025-W32,20079,0.9363466299142174,0.9093904448105437,0.9154078605464975,0.8384810126582278,0.9934013197360528,99.6936999981699
16,2025-W33,19787,0.9423613437462728,0.9140877598152425,0.9205374724003839,0.8482640377196743,0.9909864797195793,87.65440000206581
17,2025-W34,20194,0.9445396019353414,0.9183961313721539,0.9233663872477001,0.8532384874578809,0.9943280977312391,87.99940000244533
18,2025-W35,20014,0.9265533785339906,0.915752741774676,0.9309837435410567,0.8697916666666666,0.966842105263158,99.60309999951278
19,2025-W36,20052,0.48030285086930885,0.6442360728075014,0.9413564189333072,0.9139280125195618,0.49744463373083475,87.81829999861657
20,2025-W37,20062,0.49060979682529626,0.38431710469625163,0.5487596581931768,0.30822391154111956,0.5102974828375286,98.73680000237073
21,2025-W38,20001,0.5180065932041216,0.3942717854966484,0.5483230216719217,0.3101629913710451,0.5409698996655519,99.82590000072378
22,2025-W39,20098,0.561524953349145,0.3837920489296636,0.525291478186967,0.28447298828862866,0.5896632732967894,110.49400000047171
23,2025-W40,20035,0.6171881623591255,0.4923413566739606,0.6192007128640531,0.40214477211796246,0.6346967559943583,132.28969999909168
24,2025-W41,20098,0.6316964053499321,0.46742021276595747,0.590186392433447,0.36547959448921236,0.6482249884739512,111.52650000076392
25,2025-W42,19932,0.6392962515983421,0.49874616884926165,0.6154571477463184,0.4036076662908681,0.6525701786365293,111.97720000200206
26,2025-W43,19948,0.6609473412472038,0.5096056622851365,0.6218600108692498,0.4154131465073151,0.6590389016018307,133.52540000050794
27,2025-W44,22522,0.5611177010211099,0.4657777777777778,0.5975864117624434,0.36849507735583686,0.6328502415458938,125.69080000321264
28,2025-W45,23973,0.060532338137949004,0.018272425249169437,0.10560871797953414,0.011258955987717503,0.048458149779735685,111.34339999989606
29,2025-W46,23876,0.9999988573517985,0.9951638903815153,0.9951755280104119,0.9903743315508021,1.0,100.45519999766839
30,2025-W47,23912,1.0,0.9971799210377891,0.9971838862702909,0.9943757030371203,1.0,93.28260000256705
31,2025-W48,24987,1.0,0.9988202909948879,0.9988209860313734,0.997643362136685,1.0,88.36679999876651
32,2025-W49,27219,0.9999999999999999,1.0,1.0,1.0,1.0,88.57960000023013
33,2025-W50,27289,1.0,0.999462654486835,0.9994627987793899,0.9989258861439313,1.0,88.22139999756473
34,2025-W51,27168,1.0000000000000002,0.9997418022205009,0.9997418355449427,0.9994837377387713,1.0,98.98109999994631
35,2025-W52,27100,1.0,0.9997439180537772,0.9997439508343637,0.9994879672299027,1.0,89.19539999988046
36,2026-W01,21106,0.4542434062273069,0.6921202274573518,0.9346206875174214,0.8875,0.5672436750998668,76.80519999848912
37,2026-W02,19901,0.28368068391100754,0.5507669831994156,0.8155362273719917,0.6805054151624549,0.4625766871165644,78.14809999763384
38,2026-W03,19986,0.9056667253061408,0.831302116741501,0.8447154347933101,0.7136563876651982,0.9953917050691244,77.42610000059358
39,2026-W04,20326,0.9270406005136441,0.8786026200873363,0.8867612514855764,0.7865519937451134,0.9950544015825915,79.75330000044778
40,2026-W05,19823,0.936729785645159,0.9061171082760877,0.9131188948984956,0.8343373493975904,0.9914101646385111,78.06580000033136
41,2026-W06,19887,0.9376398540174326,0.9081924577373212,0.9155170894492074,0.8390197020663143,0.9897959183673469,88.51519999734592
42,2026-W07,20162,0.944809955031358,0.9183437427712237,0.9240021561599948,0.8544984933275936,0.9925,110.55570000098669
43,2026-W08,19871,0.951817332248243,0.9210987726475746,0.9259451188981874,0.8580762250453721,0.9941126997476871,157.55200000057812
44,2026-W09,20377,0.9085575357337784,0.9001526717557252,0.9210505560481513,0.8515309069901791,0.9546632124352331,100.41980000096373
45,2026-W10,20225,0.4637784052733025,0.6277777777777778,0.938308336301127,0.8968253968253969,0.4829059829059829,98.98230000180774
46,2026-W11,19956,0.4712883194038602,0.42917251051893407,0.6036096381554289,0.37001209189842804,0.5108514190317195,99.27429999879678
47,2026-W12,19948,0.4843692815540478,0.40397022332506205,0.5700462161741974,0.33170334148329256,0.516497461928934,98.90870000162977
48,2026-W13,19976,0.5131913315486898,0.3468208092485549,0.49979395165212614,0.2546998180715585,0.5433376455368694,136.75379999767756
49,2026-W14,20422,0.5023333017945053,0.32900111399925736,0.4832254492881204,0.23855681206246634,0.5299043062200957,109.79589999988093
