pos,label,train_time_s
1,2025-W18,0.34119278099387884
2,2025-W19,0.12449734599795192
3,2025-W20,0.12761840200982988
4,2025-W21,0.1228575020795688
5,2025-W22,0.1311104199849069
6,2025-W23,0.12975138891488314
7,2025-W24,0.325290106004104
8,2025-W25,0.13068885309621692
9,2025-W26,0.3258536219364032
10,2025-W27,0.13397536205593497
11,2025-W28,0.1372096330160275
12,2025-W29,0.32882542605511844
13,2025-W30,0.12869636190589517
14,2025-W31,0.3300261190161109
15,2025-W32,0.12126871501095593
16,2025-W33,0.12563228304497898
17,2025-W34,0.1264743369538337
18,2025-W35,0.1295239879982546
19,2025-W36,0.12460494902916253
20,2025-W37,0.1238684750860557
21,2025-W38,0.33481917902827263
22,2025-W39,0.12248568900395185
23,2025-W40,0.12350118102040142
24,2025-W41,0.12885856803040951
25,2025-W42,0.12351455609314144
26,2025-W43,0.13223529898095876
27,2025-W44,0.14110881194937974
28,2025-W45,0.35912089003250003
29,2025-W46,0.1519820790272206
30,2025-W47,0.3633176820585504
31,2025-W48,0.15898768696933985
32,2025-W49,0.37329133599996567
33,2025-W50,0.17061022203415632
34,2025-W51,0.1772735519334674
35,2025-W52,0.17783167795278132
36,2026-W01,0.13851339102257043
37,2026-W02,0.12171856698114425
38,2026-W03,0.13096584693994373
39,2026-W04,0.12906060100067407
40,2026-W05,0.12634830898605287
41,2026-W06,0.12750569893978536
42,2026-W07,0.12282058293931186
43,2026-W08,0.13108975091017783
44,2026-W09,0.1347368130227551
45,2026-W10,0.12366491998545825
46,2026-W11,0.1298587720375508
47,2026-W12,0.31808611296582967
48,2026-W13,0.12364998203702271
49,2026-W14,0.13408392702694982
50,2026-W15,0.1219784279819578
51,2026-W16,0.1234576579881832
52,2026-W17,0.13201468100305647
53,2026-W18,0.1196949069853872
54,2026-W19,0.1259656350594014
55,2026-W20,0.3323808260029182
56,2026-W21,0.12171348801348358
57,2026-W22,0.12940310908015817
58,2026-W23,0.12304944510105997
59,2026-W24,0.12145468802191317
60,2026-W25,0.12902855104766786
61,2026-W26,0.121180679067038
62,2026-W27,0.12292127299588174
63,2026-W28,0.1294634339865297
64,2026-W29,0.12259234103839844
65,2026-W30,0.12789714010432363
66,2026-W31,0.12493353092577308
67,2026-W32,0.3371056169271469
68,2026-W33,0.1344254839932546
69,2026-W34,0.12578448199201375
70,2026-W35,0.13031030702404678
71,2026-W36,0.13485614897217602
72,2026-W37,0.12032545998226851
73,2026-W38,0.12730776402167976
74,2026-W39,0.3248066420201212
75,2026-W40,0.12512821902055293
76,2026-W41,0.13377184700220823
77,2026-W42,0.12056479300372303
78,2026-W43,0.12213252997025847
79,2026-W44,0.143693374004215
80,2026-W45,0.15139606001321226
81,2026-W46,0.1463558819377795
82,2026-W47,0.15058099699672312
83,2026-W48,0.15864597004838288
84,2026-W49,0.17350145406089723
85,2026-W50,0.1683870250126347
86,2026-W51,0.1705973979551345
87,2026-W52,0.3781034939456731
88,2026-W53,0.056358264992013574
