pos,segment,scenario,AdaptIdx_local,AdaptIdx_blend
1,2025-05..2025-06 (S1),1,0.9907494166927164,0.6627885717367663
2,2025-05..2025-06 (S1),1,0.9976162985175827,0.9924768229446674
3,2025-05..2025-06 (S1),1,0.9890647536237034,0.9913270170452175
4,2025-05..2025-06 (S1),1,0.9872999989943666,0.9872167886681121
5,2025-05..2025-06 (S1),1,0.9852856133862665,0.9913915822340815
6,2025-05..2025-06 (S1),1,1.0015891343216117,0.9961720264068834
7,2025-05..2025-06 (S1),1,1.0016413315127721,0.985869248865632
8,2025-05..2025-06 (S1),1,0.9543772807625124,0.9634555968162641
9,2025-05..2025-06 (S1),1,0.9343481781735082,0.6295751529786735
9,2025-07..2025-08 (S2),2,1.032512596182366,0.6275041987274553
10,2025-07..2025-08 (S2),2,0.7466625380116643,0.913843677119495
11,2025-07..2025-08 (S2),2,0.8590184351761191,0.8809326073974726
12,2025-07..2025-08 (S2),2,0.9337793870162987,0.9350121003951993
13,2025-07..2025-08 (S2),2,1.0122384789931806,0.9597327052614932
14,2025-07..2025-08 (S2),2,0.9331802497750005,0.9591466746761217
15,2025-07..2025-08 (S2),2,0.9320212952601842,0.9579593667977676
16,2025-07..2025-08 (S2),2,1.0086765553581183,0.9749484863011556
17,2025-07..2025-08 (S2),2,0.9841476082851645,0.9932697768687018
18,2025-07..2025-08 (S2),2,0.9869851669628226,0.6570442584159957
18,2025-09..2025-10 (S3),3,1.2,0.7372923737120463
19,2025-09..2025-10 (S3),3,1.0118771211361388,1.0226708549966455
20,2025-09..2025-10 (S3),3,0.8561354438537977,0.9060041883299788
21,2025-09..2025-10 (S3),3,0.8409228427441798,0.90211270331047
22,2025-09..2025-10 (S3),3,1.0002026660776124,0.9000675553592041
23,2025-09..2025-10 (S3),3,0.7413478572734,0.9225428814057455
24,2025-09..2025-10 (S3),3,0.9174259781396239,0.922373993007735
25,2025-09..2025-10 (S3),3,0.999696000883581,0.9907359836050089
26,2025-09..2025-10 (S3),3,1.0550859717918222,0.9852332593002658
27,2025-09..2025-10 (S3),3,0.9009178052253946,0.6520012590057389
27,2025-11..2025-12 (S1),1,0.577133869891177,0.5666666666666667
28,2025-11..2025-12 (S1),1,0.6275447203084458,0.85
