pos,label,AUPRC,run_max,drawdown_pct
1,2025-W18,0.9980851431763289,0.9980851431763289,0.0
2,2025-W19,0.9975024936160778,0.9980851431763289,-0.05837673912236352
3,2025-W20,0.9968680342435248,0.9980851431763289,-0.12194439934560881
4,2025-W21,0.997055931806555,0.9980851431763289,-0.1031185943213689
5,2025-W22,0.9975143209664936,0.9980851431763289,-0.05719173496748875
6,2025-W23,0.9983442648744885,0.9983442648744885,0.0
7,2025-W24,0.9982883087729978,0.9983442648744885,-0.005604890362915808
8,2025-W25,0.9985016807597153,0.9985016807597153,0.0
9,2025-W26,0.8990159643574732,0.9985016807597153,-9.963500144190833
10,2025-W27,0.6597185188771864,0.9985016807597153,-33.9291528908358
11,2025-W28,0.8344902308967637,0.9985016807597153,-16.425756012565014
12,2025-W29,0.8771749809809758,0.9985016807597153,-12.150875868974751
13,2025-W30,0.919709216575442,0.9985016807597153,-7.891069760075281
14,2025-W31,0.8922286313945224,0.9985016807597153,-10.64325192565871
15,2025-W32,0.8679783173436273,0.9985016807597153,-13.071922254229824
16,2025-W33,0.9010519474160231,0.9985016807597153,-9.759596325320862
17,2025-W34,0.9030889863595521,0.9985016807597153,-9.555586759510303
18,2025-W35,0.8692032431326135,0.9985016807597153,-12.949245866939792
19,2025-W36,0.5134186765008131,0.9985016807597153,-48.58109040836309
20,2025-W37,0.5374602309815751,0.9985016807597153,-46.17332736258935
21,2025-W38,0.5693105027047665,0.9985016807597153,-42.98352084178732
22,2025-W39,0.6172169601156402,0.9985016807597153,-38.185686413063685
23,2025-W40,0.5253789154513109,0.9985016807597153,-47.383271798643996
24,2025-W41,0.5224925627832409,0.9985016807597153,-47.672340182171794
25,2025-W42,0.5354498712753837,0.9985016807597153,-46.374665001266315
26,2025-W43,0.5605346413259105,0.9985016807597153,-43.862423856970906
27,2025-W44,0.5425239204374028,0.9985016807597153,-45.66619857618861
28,2025-W45,0.9456424236083243,0.9985016807597153,-5.2938576038422696
29,2025-W46,0.9855695888289984,0.9985016807597153,-1.2951497408474597
30,2025-W47,0.9942293624652807,0.9985016807597153,-0.42787291967140445
31,2025-W48,0.8856425724069261,0.9985016807597153,-11.302846107071124
32,2025-W49,0.9963216559465438,0.9985016807597153,-0.2183296087707038
33,2025-W50,0.9975228188849976,0.9985016807597153,-0.09803307231020061
34,2025-W51,0.9976965811925365,0.9985016807597153,-0.08063076734796544
35,2025-W52,0.9969348988192438,0.9985016807597153,-0.15691330026399722
36,2026-W01,0.6800110968439267,0.9985016807597153,-31.896850055721828
37,2026-W02,0.4570266389798214,0.9985016807597153,-54.228756166730705
38,2026-W03,0.7609802280774116,0.9985016807597153,-23.787786967127012
39,2026-W04,0.8687913010452979,0.9985016807597153,-12.990501890365033
40,2026-W05,0.8873141810399569,0.9985016807597153,-11.135434407597682
41,2026-W06,0.8413284560431775,0.9985016807597153,-15.740907376034835
42,2026-W07,0.8934924067613794,0.9985016807597153,-10.516684750939936
43,2026-W08,0.9103096184656163,0.9985016807597153,-8.83244004426689
44,2026-W09,0.8376116135537615,0.9985016807597153,-16.113149362306515
45,2026-W10,0.46490867349452597,0.9985016807597153,-53.43936996272277
46,2026-W11,0.5083627733395046,0.9985016807597153,-49.08743939692579
47,2026-W12,0.49776599032174884,0.9985016807597153,-50.14870781759516
48,2026-W13,0.5282251692881657,0.9985016807597153,-47.098219315338284
49,2026-W14,0.513738280655979,0.9985016807597153,-48.549082034083455
50,2026-W15,0.5094606009893078,0.9985016807597153,-48.97749189548865
51,2026-W16,0.5495946873993325,0.9985016807597153,-44.95806086363616
52,2026-W17,0.5430151877807933,0.9985016807597153,-45.61699812386522
53,2026-W18,0.5560803002790421,0.9985016807597153,-44.30852636562961
54,2026-W19,0.9677882395693527,0.9985016807597153,-3.075952878416208
55,2026-W20,0.9909593007122238,0.9985016807597153,-0.7553697898387979
56,2026-W21,0.9972601618608344,0.9985016807597153,-0.12433818818775497
57,2026-W22,0.9984068500189269,0.9985016807597153,-0.009497304072264387
58,2026-W23,0.9980089524054094,0.9985016807597153,-0.04934677264949827
59,2026-W24,0.9976270793533539,0.9985016807597153,-0.08759138048680841
60,2026-W25,0.9969172916979467,0.9985016807597153,-0.1586766544612242
61,2026-W26,0.9960640474865263,0.9985016807597153,-0.24412911066252138
62,2026-W27,0.639271545395526,0.9985016807597153,-35.97691844553203
63,2026-W28,0.5003509162435792,0.9985016807597153,-49.88982733981133
64,2026-W29,0.7873176359186473,0.9985016807597153,-21.150094076996197
65,2026-W30,0.8868566839796138,0.9985016807597153,-11.181252764157176
66,2026-W31,0.8782115801508802,0.9985016807597153,-12.047060403274614
67,2026-W32,0.8606123653521672,0.9985016807597153,-13.809622764243551
68,2026-W33,0.9051296233221049,0.9985016807597153,-9.351216851890307
69,2026-W34,0.9033140514154301,0.9985016807597153,-9.533046481390121
70,2026-W35,0.9055644710408366,0.9985016807597153,-9.307666828178695
71,2026-W36,0.4680110630380355,0.9985016807597153,-53.128665473858106
72,2026-W37,0.5742335837830017,0.9985016807597153,-42.49047399238297
73,2026-W38,0.5549499106724969,0.9985016807597153,-44.42173494888259
74,2026-W39,0.5821034997099572,0.9985016807597153,-41.702301465625915
75,2026-W40,0.5444646041676723,0.9985016807597153,-45.471838990454835
76,2026-W41,0.5080869179074173,0.9985016807597153,-49.11506633410605
77,2026-W42,0.5463289000650682,0.9985016807597153,-45.285129650518876
78,2026-W43,0.5694881906382485,0.9985016807597153,-42.96572538516406
79,2026-W44,0.5893528376966067,0.9985016807597153,-40.97627985481262
80,2026-W45,0.9075764991716848,0.9985016807597153,-9.106162096677656
81,2026-W46,0.9625314529732271,0.9985016807597153,-3.602420354377385
82,2026-W47,0.9812668935742398,0.9985016807597153,-1.7260649148194096
83,2026-W48,0.9326281214830013,0.9985016807597153,-6.597240700345518
84,2026-W49,0.9956435014826337,0.9985016807597153,-0.2862468168212787
85,2026-W50,0.9942711860652069,0.9985016807597153,-0.42368428376501377
86,2026-W51,0.9982543255651823,0.9985016807597153,-0.02477263677160803
87,2026-W52,0.9986287506558541,0.9986287506558541,0.0
88,2026-W53,0.9992414572671875,0.9992414572671875,0.0
