pos,label,n,AUPRC,F1,Recall,Specificity,Precision,G-Mean,infer_ms_per_tx,infer_ms_avg
1,2025-W18,17279,0.9980851431763289,0.964975845410628,0.94,0.9995739241585002,0.9913151364764268,0.9693294015498499,1.1945718433707952,6.913431583834686e-05
2,2025-W19,20038,0.9975024936160778,0.9716640906749099,0.9721649484536082,0.9985315712187959,0.9711637487126673,0.9852600638730981,1.0336068226024508,5.1582334694203554e-05
3,2025-W20,20160,0.9968680342435248,0.9633350075339026,0.9876416065911432,0.9968210954192506,0.9401960784313725,0.9922207356046394,1.6660329420119524,8.264052291725954e-05
4,2025-W21,20197,0.997055931806555,0.9616161616161616,0.9834710743801653,0.9968797129335899,0.9407114624505929,0.9901526964597878,1.0351379169151187,5.125206302496008e-05
5,2025-W22,20225,0.9975143209664936,0.9596541786743515,0.9920556107249255,0.9960453741284213,0.9293023255813954,0.9940484907391127,1.0358501458540559,5.121632365162204e-05
6,2025-W23,20123,0.9983442648744885,0.9755335762623634,0.965979381443299,0.9992690440139926,0.9852786540483701,0.9824832278629866,1.442669192329049,7.169255043129996e-05
7,2025-W24,19898,0.9982883087729978,0.9755844155844156,0.9842767295597484,0.9983108108108109,0.9670442842430484,0.9912689342196727,0.9834410157054663,4.942411376547724e-05
8,2025-W25,20132,0.9985016807597153,0.9295499021526419,1.0,0.9924929621520175,0.8683729433272395,0.9962394100576515,1.0317019186913967,5.124686661491142e-05
9,2025-W26,19947,0.8990159643574732,0.9100418410041841,0.9908883826879271,0.9913996538885101,0.8413926499032882,0.9911439853214853,1.477847807109356,7.408872547798445e-05
10,2025-W27,20063,0.6597185188771864,0.6580976863753213,0.5493562231759657,0.9985879979828542,0.8205128205128205,0.7406622246886293,1.2208210537210107,6.0849377148034225e-05
11,2025-W28,20002,0.8344902308967637,0.7571265678449259,0.6194029850746269,0.9995376553991575,0.9736070381231672,0.7868396326118378,1.1799129424616694,5.8989748148268645e-05
12,2025-W29,20267,0.8771749809809758,0.823019801980198,0.7291666666666666,0.9979850167915267,0.9446022727272727,0.8530518202765615,1.0177349904552102,5.021636110204817e-05
13,2025-W30,19810,0.919709216575442,0.8921725239616614,0.8513719512195121,0.9959455076224457,0.9370805369127517,0.9208257544904079,1.070536090992391,5.404018631965629e-05
14,2025-W31,20260,0.8922286313945224,0.8224917309812569,0.7214700193423598,0.9991389353188472,0.9564102564102565,0.8490281426373295,1.9325580215081573,9.538785890958328e-05
15,2025-W32,20079,0.8679783173436273,0.8214702450408401,0.7082494969818913,0.9995914615463181,0.9777777777777777,0.8414036782826502,1.082278904505074,5.390103613253021e-05
16,2025-W33,19787,0.9010519474160231,0.8890330953926022,0.8313106796116505,0.998312503295892,0.9553695955369595,0.9109927802017511,1.8594290595501661,9.397225752009734e-05
17,2025-W34,20194,0.9030889863595521,0.8674136321195145,0.780016792611251,0.99884228805978,0.9768664563617245,0.8826742082200391,1.4790291897952557,7.324102158043259e-05
18,2025-W35,20014,0.8692032431326135,0.8699146157709694,0.8101028999064547,0.9970440749538136,0.9392624728850325,0.8987259295550746,1.3309372588992119,6.650031272605236e-05
19,2025-W36,20052,0.5134186765008131,0.5998672859986729,0.6827794561933535,0.9797318205260444,0.5349112426035503,0.8178879872171352,2.009002957493067,0.0001001896547722455
20,2025-W37,20062,0.5374602309815751,0.5075395365943361,0.4831932773109244,0.9677471289041537,0.5344694035631293,0.6838193524780033,1.4887170400470495,7.420581397901752e-05
21,2025-W38,20001,0.5693105027047665,0.49852110782468406,0.45530451866404714,0.9579181742276649,0.5508021390374331,0.6604123509113604,1.1934679932892323,5.967041614365444e-05
22,2025-W39,20098,0.6172169601156402,0.5929463629684056,0.6067669172932331,0.9329051496731277,0.5797413793103449,0.7523669196569888,1.8736548954620957,9.322593767848023e-05
23,2025-W40,20035,0.5253789154513109,0.4394904458598726,0.33906633906633904,0.9957713470552272,0.6244343891402715,0.5810615674721336,1.3320418074727058,6.648574032806118e-05
24,2025-W41,20098,0.5224925627832409,0.5438741721854304,0.5908273381294964,0.9659222585062678,0.5038343558282209,0.7554424378027021,1.4967832248657942,7.447423747963949e-05
25,2025-W42,19932,0.5354498712753837,0.5926459985580389,0.6865256124721604,0.9375827084252316,0.5213530655391121,0.8022933024430274,1.7894470365718007,8.977759565381301e-05
26,2025-W43,19948,0.5605346413259105,0.6254826254826255,0.7384997927890593,0.9142857142857143,0.5424657534246575,0.8217054280884343,1.3799209846183658,6.917590658804722e-05
27,2025-W44,22522,0.5425239204374028,0.534087694483734,0.5327313769751693,0.9605301204819278,0.5354509359047079,0.7153352596583386,1.854261034168303,8.233109999859261e-05
28,2025-W45,23973,0.9456424236083243,0.5807385952208545,0.4104401228249744,0.9998695425291355,0.9925742574257426,0.6406142192026409,1.685549970716238,7.031034792125466e-05
29,2025-W46,23876,0.9855695888289984,0.7130075705437027,0.5540106951871657,1.0,1.0,0.7443189472176331,1.4897399814799428,6.239487273747456e-05
30,2025-W47,23912,0.9942293624652807,0.7821917808219178,0.6422947131608548,1.0,1.0,0.8014329124517253,1.2556760339066386,5.251238013995645e-05
31,2025-W48,24987,0.8856425724069261,0.7670772676371781,0.7349785407725322,0.9929744335896903,0.8021077283372365,0.8542920462138123,2.107681008055806,8.435110289573802e-05
32,2025-W49,27219,0.9963216559465438,0.9625871908687381,0.9857142857142858,0.9981851865855041,0.9405204460966543,0.9919301377646065,2.49497196637094,9.166288130978141e-05
33,2025-W50,27289,0.9975228188849976,0.875629043853343,0.7787723785166241,1.0,1.0,0.8824808091491985,2.5085678789764643,9.19259730652081e-05
34,2025-W51,27168,0.9976965811925365,0.885989010989011,0.7953144266337855,1.0,1.0,0.8918040292764916,1.6223288839682937,5.9714696848067346e-05
35,2025-W52,27100,0.9969348988192438,0.9516971279373369,0.9101123595505618,0.999923951481045,0.9972640218878249,0.95396181624504,1.7683558398857713,6.525298302161518e-05
36,2026-W01,21106,0.6800110968439267,0.7532894736842105,0.7633333333333333,0.9962030183600884,0.7435064935064936,0.8720292258184551,1.5305461129173636,7.251710949101505e-05
37,2026-W02,19901,0.4570266389798214,0.5427769985974754,0.6985559566787004,0.9749315139298083,0.44380733944954126,0.8252540314408957,1.439916086383164,7.23539564033548e-05
38,2026-W03,19986,0.7609802280774116,0.7366568914956012,0.6916299559471366,0.991141629101583,0.7879548306148055,0.8279512312164896,1.1588620254769921,5.798368985674933e-05
39,2026-W04,20326,0.8687913010452979,0.8089171974522293,0.6950742767787333,0.9984249488108363,0.9673558215451578,0.8330543194849517,1.8794360803440213,9.24646305394087e-05
40,2026-W05,19823,0.8873141810399569,0.8125416944629753,0.6944127708095781,0.9993138393328407,0.9790996784565916,0.8330283861186697,1.1205297196283937,5.6526747698551864e-05
41,2026-W06,19887,0.8413284560431775,0.7323943661971831,0.5777777777777777,1.0,1.0,0.7601169500660919,1.0669691255316138,5.365158774735324e-05
42,2026-W07,20162,0.8934924067613794,0.8266897746967071,0.7162162162162162,0.99943578169881,0.9774590163934426,0.8460568030099505,2.0680350717157125,0.00010257092906039642
43,2026-W08,19871,0.9103096184656163,0.8571428571428571,0.757548032936871,0.9994142081158803,0.9868891537544696,0.870117387165287,1.1274851858615875,5.6740233801096446e-05
44,2026-W09,20377,0.8376116135537615,0.8,0.7127532777115614,0.9970314259391954,0.9115853658536586,0.8429931297582403,1.386313117109239,6.803322947976832e-05
45,2026-W10,20225,0.46490867349452597,0.57847533632287,0.6825396825396826,0.9871013251373003,0.5019455252918288,0.8208141233517567,1.567576895467937,7.750689223574473e-05
46,2026-W11,19956,0.5083627733395046,0.6298549368273281,0.8137847642079806,0.9666997752104135,0.5137404580152671,0.8869529573937471,1.129095908254385,5.657926980629309e-05
47,2026-W12,19948,0.49776599032174884,0.6289774482545567,0.8296658516707417,0.9470113775973505,0.5064676616915423,0.8863988950445438,1.995505066588521,0.0001000353452270163
48,2026-W13,19976,0.5282251692881657,0.6426540284360189,0.8223165554881746,0.933704370600753,0.5274212368728122,0.8762422963294257,1.1919140815734863,5.9667304844487696e-05
49,2026-W14,20422,0.513738280655979,0.6263435194942044,0.8002154011847065,0.9244815513062213,0.5145429362880887,0.8601071883587346,1.4205568004399538,6.956012145920839e-05
50,2026-W15,20119,0.5094606009893078,0.6365118174409128,0.8255813953488372,0.9202282328413891,0.5179045092838196,0.871621080807818,1.8120690947398543,9.006755279784553e-05
51,2026-W16,20109,0.5495946873993325,0.6591646004196071,0.844574780058651,0.918673531528539,0.5405067250547388,0.8808453302574862,1.0922482470050454,5.431638803545902e-05
52,2026-W17,19878,0.5430151877807933,0.6512729425695678,0.850954100051573,0.917609677239534,0.5274936061381074,0.8836536182769705,1.490701804868877,7.499254476651962e-05
53,2026-W18,19974,0.5560803002790421,0.5522875816993464,0.5322834645669291,0.9731608212147135,0.5738539898132428,0.7197203717395845,1.8013478256762028,9.0184631304506e-05
54,2026-W19,19870,0.9677882395693527,0.8209658421672555,0.7012072434607646,0.9996291587200679,0.9900568181818182,0.8372258995451001,1.1394560569897294,5.73455489174499e-05
55,2026-W20,20229,0.9909593007122238,0.9472573839662447,0.9354166666666667,0.9980279204940579,0.9594017094017094,0.9662152713701107,1.5995060093700886,7.906994954620043e-05
56,2026-W21,20082,0.9972601618608344,0.9685916919959473,0.956,0.9990567026517136,0.9815195071868583,0.9772912604413477,1.5129230450838804,7.533726944945128e-05
57,2026-W22,20105,0.9984068500189269,0.9014245014245015,0.8205394190871369,1.0,1.0,0.905836309212176,1.3722559669986367,6.825446242221521e-05
58,2026-W23,20103,0.9980089524054094,0.9485294117647058,0.903,0.999947652201225,0.9988938053097345,0.950238249039527,1.8987320363521576,9.445018337323571e-05
